Date,Price,Open,High,Low,Vol.,Change %
6-Jan-09,83.72,83.72,84.98,83.5,5.95K,0.17%
5-Jan-09,83.575,82.465,84.1,82.2,4.45K,0.93%
2-Jan-09,82.805,82.195,82.895,82.015,2.88K,0.80%
31-Dec-08,82.15,81.53,82.675,81.395,2.36K,0.45%
30-Dec-08,81.78,81.93,82.165,81.19,1.70K,0.31%
29-Dec-08,81.525,81.825,82.75,80.43,3.80K,-0.20%
26-Dec-08,81.69,81.835,82.015,81.475,0.77K,-0.35%
24-Dec-08,81.975,82.28,82.3,81.88,0.71K,-0.26%
23-Dec-08,82.185,82.055,82.37,81.77,1.28K,0.13%
22-Dec-08,82.08,82.32,82.385,81.415,3.12K,-0.43%
19-Dec-08,82.435,80.86,82.765,80.52,6.21K,2.26%
18-Dec-08,80.615,80.615,80.615,80.615,7.94K,0.67%
17-Dec-08,80.075,80.95,81.395,79.5,7.34K,-1.86%
16-Dec-08,81.595,82.905,83.18,80.605,6.42K,-0.81%
15-Dec-08,82.263,83.23,83.325,82.395,4.07K,-1.63%
12-Dec-08,83.63,83.775,84.035,83.245,4.07K,-0.31%
11-Dec-08,83.89,85.45,85.45,83.325,5.35K,-1.94%
10-Dec-08,85.55,85.925,86.01,85.22,15.30K,-0.38%
9-Dec-08,85.875,85.8,86.515,85.43,4.10K,0.32%
8-Dec-08,85.6,87.045,87.045,85.555,7.89K,-1.82%
5-Dec-08,87.19,86.845,87.63,86.55,3.74K,0.75%
4-Dec-08,86.545,86.97,87.85,86.185,4.23K,-0.71%
3-Dec-08,87.165,86.86,87.435,86.66,2.05K,0.40%
2-Dec-08,86.82,87.285,87.475,86.375,2.52K,-0.09%
1-Dec-08,86.9,86.58,87.5,86.5,4.24K,0.22%
28-Nov-08,86.705,85.76,87.01,85.455,2.45K,1.13%
27-Nov-08,85.735,85.725,85.895,85.305,0.74K,0.00%
26-Nov-08,85.735,85.05,86.25,85.015,3.96K,0.79%
25-Nov-08,85.06,86.09,86.595,84.65,6.67K,-1.41%
24-Nov-08,86.28,87.64,87.925,85,9.31K,-2.41%
21-Nov-08,88.415,88.69,88.735,87.045,4.72K,0.14%
20-Nov-08,88.295,88.04,88.625,87.715,3.35K,0.83%
19-Nov-08,87.565,87.535,89.25,86.375,4.85K,-0.21%
18-Nov-08,87.75,87.46,87.805,87.12,2.43K,0.70%
17-Nov-08,87.14,88.185,88.215,86.895,3.53K,0.41%
14-Nov-08,86.785,87.01,88.4,86.745,3.11K,-0.71%
13-Nov-08,87.405,88.385,88.635,86.555,5.46K,-0.73%
12-Nov-08,88.05,87.685,88.405,87.21,3.25K,0.41%
11-Nov-08,87.69,86.67,87.83,86.185,4.03K,1.50%
10-Nov-08,86.39,86.065,86.635,85.545,2.26K,-0.07%
7-Nov-08,86.45,86.88,86.94,85.875,2.82K,-0.01%
6-Nov-08,86.46,85.6,86.915,85.41,4.56K,1.56%
5-Nov-08,85.13,85.34,86.14,84.455,3.43K,-0.28%
4-Nov-08,85.37,87.1,87.48,84.705,5.26K,-1.86%
3-Nov-08,86.985,86.345,87.175,85.52,3.61K,0.74%
31-Oct-08,86.345,85.675,86.955,85.505,5.96K,1.28%
30-Oct-08,85.255,85.26,86.45,83.75,5.53K,-0.44%
29-Oct-08,85.635,86.445,87.11,84.95,8.24K,-2.24%
28-Oct-08,87.6,87.845,88.495,86.65,4.17K,-0.01%
27-Oct-08,87.61,86.905,88.315,86.64,5.05K,0.76%
24-Oct-08,86.95,85.57,87.585,85.55,10.31K,1.35%
23-Oct-08,85.79,86.255,86.55,85.26,10.37K,0.00%
22-Oct-08,85.79,85.095,86.385,84.975,6.49K,1.63%
21-Oct-08,84.415,83.375,84.885,83.33,4.32K,1.13%
20-Oct-08,83.475,82.89,83.64,82,6.44K,0.77%
17-Oct-08,82.835,82.52,83.02,82.425,3.02K,0.07%
16-Oct-08,82.78,82.625,83.1,82.315,4.48K,0.53%
15-Oct-08,82.345,81.94,83.1,81.4,6.06K,0.86%
14-Oct-08,81.64,81.73,81.83,81.1,4.91K,-0.70%
13-Oct-08,82.215,82.31,82.485,81.25,5.11K,-1.31%
10-Oct-08,83.31,81.72,83.5,81.375,10.42K,2.39%
9-Oct-08,81.365,81.255,81.665,80.655,4.30K,0.39%
8-Oct-08,81.045,81.435,81.535,80.59,5.35K,-0.22%
7-Oct-08,81.22,81.725,81.94,80.83,6.87K,-0.89%
6-Oct-08,81.95,81.295,82.035,81.145,5.31K,1.70%
3-Oct-08,80.58,80.725,81.25,80.22,8.21K,-0.07%
2-Oct-08,80.64,79.845,81.015,79.735,6.19K,1.39%
1-Oct-08,79.535,79.18,79.92,79.045,5.40K,0.22%
30-Sep-08,79.36,77.98,79.62,77.735,6.32K,2.36%
29-Sep-08,77.53,77.2,78.465,77.115,7.84K,0.63%
26-Sep-08,77.045,76.955,77.27,76.85,3.09K,-0.08%
25-Sep-08,77.11,76.92,77.405,76.41,6.02K,0.30%
24-Sep-08,76.88,76.735,77.265,76.545,4.27K,0.30%
23-Sep-08,76.65,76.33,77.115,76.235,8.37K,0.36%
22-Sep-08,76.375,77.67,77.89,76.025,13.59K,-2.01%
19-Sep-08,77.94,78,79.38,77.81,7.51K,-0.16%
18-Sep-08,78.065,78.29,78.585,77.31,8.03K,-0.03%
17-Sep-08,78.09,79.54,79.65,78.045,11.02K,-1.81%
16-Sep-08,79.53,79.2,79.95,78.825,5.41K,0.94%
15-Sep-08,78.79,78.525,79.3,77.67,0.55K,-0.23%
12-Sep-08,78.975,79.86,80.055,78.95,2.07K,-1.47%
11-Sep-08,80.15,80.245,80.395,79.93,6.83K,0.34%
10-Sep-08,79.875,79.6,80.27,79.27,24.31K,0.74%
9-Sep-08,79.29,79.515,79.815,79.045,20.66K,-0.46%
8-Sep-08,79.655,79.2,79.9,78.245,17.94K,0.83%
5-Sep-08,79,78.94,79.14,78.46,14.94K,0.40%
4-Sep-08,78.685,78.105,79.485,77.91,8.12K,0.67%
3-Sep-08,78.165,78.245,78.73,78.085,8.66K,0.03%
2-Sep-08,78.14,77.84,78.38,77.74,7.84K,0.54%
1-Sep-08,77.72,77.33,77.79,77.32,2.45K,0.28%
29-Aug-08,77.5,77.23,77.52,76.865,4.50K,0.32%
28-Aug-08,77.255,77,77.41,76.7,5.23K,0.08%
27-Aug-08,77.195,77.385,77.385,76.795,6.16K,-0.19%
26-Aug-08,77.345,77.01,77.71,77.01,5.13K,0.57%
25-Aug-08,76.905,76.865,77.225,76.67,4.63K,0.01%
22-Aug-08,76.895,76.245,76.99,76.235,5.54K,0.74%
21-Aug-08,76.33,77.015,77.025,76.155,12.01K,-0.99%
20-Aug-08,77.095,76.86,77.38,76.83,4.06K,0.14%
19-Aug-08,76.985,77.26,77.565,76.845,5.17K,-0.37%
18-Aug-08,77.27,77.265,77.295,76.93,7.80K,-0.10%
15-Aug-08,77.35,76.995,77.435,76.945,5.87K,0.67%
14-Aug-08,76.835,76.495,76.99,76.245,8.21K,0.59%
13-Aug-08,76.385,76.45,76.69,76.02,11.30K,0.09%
12-Aug-08,76.32,76.385,76.78,76.145,6.00K,0.01%
11-Aug-08,76.315,76.215,76.55,75.695,10.02K,0.40%
8-Aug-08,76.01,74.73,76.095,74.72,10.73K,1.72%
7-Aug-08,74.725,74.38,74.805,74.03,9.17K,0.42%
6-Aug-08,74.41,74.05,74.48,73.9,4.76K,0.48%
5-Aug-08,74.055,73.67,74.335,73.67,6.39K,0.59%
4-Aug-08,73.62,73.54,73.7,73.365,2.70K,0.03%
1-Aug-08,73.6,73.425,73.965,73.4,6.10K,0.25%
31-Jul-08,73.42,73.51,73.51,73.015,7.32K,-0.12%
30-Jul-08,73.51,73.48,73.735,73.335,4.91K,0.01%
29-Jul-08,73.505,72.84,73.63,72.825,9.14K,0.89%
28-Jul-08,72.86,73.065,73.125,72.805,3.31K,-0.29%
25-Jul-08,73.075,73.01,73.15,72.74,4.16K,-0.07%
24-Jul-08,73.125,73.005,73.23,72.915,6.37K,0.12%
23-Jul-08,73.04,72.67,73.09,72.63,11.18K,0.50%
22-Jul-08,72.675,72.14,72.825,71.96,7.23K,0.63%
21-Jul-08,72.22,72.42,72.48,72.005,1.00K,-0.28%
18-Jul-08,72.425,72.31,72.545,72.22,1.50K,-0.10%
17-Jul-08,72.495,72.26,72.675,72.09,4.11K,0.22%
16-Jul-08,72.335,71.93,72.37,71.76,4.14K,0.28%
15-Jul-08,72.13,72.29,72.29,71.555,6.75K,-0.06%
14-Jul-08,72.17,72.3,72.58,72.11,3.09K,-0.24%
11-Jul-08,72.345,72.77,72.865,72.075,8.66K,-0.58%
10-Jul-08,72.765,72.93,73.11,72.7,2.27K,-0.14%
9-Jul-08,72.87,73.285,73.31,72.76,4.43K,-0.61%
8-Jul-08,73.315,73.03,73.39,72.89,3.83K,0.47%
7-Jul-08,72.97,72.99,73.49,72.855,4.89K,-0.03%
4-Jul-08,72.99,73.095,73.105,72.93,0.55K,-0.12%
3-Jul-08,73.075,72.315,73.295,72.305,8.55K,1.02%
2-Jul-08,72.335,72.655,72.825,72.305,5.35K,-0.46%
1-Jul-08,72.67,72.75,72.885,72.46,3.23K,-0.18%
30-Jun-08,72.8,72.58,72.885,72.35,4.25K,0.18%
27-Jun-08,72.67,72.805,72.95,72.555,6.01K,-0.16%
26-Jun-08,72.79,73.25,73.4,72.76,5.44K,-0.68%
25-Jun-08,73.29,73.57,73.8,73.195,4.18K,-0.42%
24-Jun-08,73.6,73.79,73.935,73.38,2.82K,-0.29%
23-Jun-08,73.815,73.43,74.04,73.365,5.37K,0.59%
20-Jun-08,73.38,73.85,73.905,73.29,5.77K,-0.66%
19-Jun-08,73.87,73.8,74,73.59,2.43K,0.04%
18-Jun-08,73.84,73.91,74.195,73.8,2.64K,-0.11%
17-Jun-08,73.925,74.13,74.135,73.73,4.38K,0.33%
16-Jun-08,73.685,73.95,74.085,73.475,0.39K,-0.65%
13-Jun-08,74.17,73.835,74.32,73.71,4.91K,0.39%
12-Jun-08,73.88,73.255,74.11,73.23,6.69K,0.88%
11-Jun-08,73.235,73.69,73.73,73.11,14.36K,-0.68%
10-Jun-08,73.74,72.925,73.75,72.91,9.84K,1.19%
9-Jun-08,72.875,72.33,73.05,72.17,16.36K,0.61%
6-Jun-08,72.43,73.065,73.185,72.365,7.45K,-0.88%
5-Jun-08,73.075,73.515,73.93,73.035,7.74K,-0.58%
4-Jun-08,73.505,73.355,73.575,73.26,4.59K,0.28%
3-Jun-08,73.3,73.005,73.55,72.625,9.93K,0.42%
2-Jun-08,72.99,72.95,73.21,72.8,3.81K,0.05%
30-May-08,72.95,73.075,73.29,72.87,4.44K,-0.21%
29-May-08,73.105,72.52,73.21,72.52,9.32K,0.66%
28-May-08,72.625,72.445,72.835,72.18,4.85K,0.28%
27-May-08,72.42,72.015,72.49,71.915,3.66K,0.42%
26-May-08,72.12,72,72.16,71.975,0.93K,0.21%
23-May-08,71.97,72.23,72.37,71.94,3.51K,-0.59%
22-May-08,72.4,72.02,72.41,71.935,6.27K,0.44%
21-May-08,72.08,72.565,72.6,71.985,9.66K,-0.61%
20-May-08,72.52,73.115,73.135,72.47,8.29K,-0.90%
19-May-08,73.175,72.96,73.31,72.665,6.01K,0.29%
16-May-08,72.96,73.435,73.52,72.8,10.77K,-0.72%
15-May-08,73.49,73.535,73.57,73.17,5.36K,-0.10%
14-May-08,73.565,73.435,74,73.395,7.74K,0.18%
13-May-08,73.435,73.13,73.585,73.04,5.92K,0.43%
12-May-08,73.12,73.21,73.71,72.945,4.38K,-0.14%
9-May-08,73.225,73.595,73.635,73.175,5.63K,-0.60%
8-May-08,73.665,73.9,74.065,73.43,4.78K,-0.03%
7-May-08,73.69,73.215,73.84,73.215,6.65K,0.70%
6-May-08,73.175,73.31,73.5,72.9,3.02K,-0.27%
5-May-08,73.375,73.615,73.72,73.29,3.35K,-0.43%
2-May-08,73.69,73.405,73.9,73.3,9.73K,0.29%
1-May-08,73.48,72.75,73.585,72.69,6.62K,1.05%
30-Apr-08,72.72,73.06,73.3,72.67,8.47K,-0.53%
29-Apr-08,73.105,72.715,73.2,72.71,6.62K,0.42%
28-Apr-08,72.8,72.905,72.995,72.655,2.47K,-0.31%
25-Apr-08,73.03,72.79,73.25,72.7,7.06K,0.35%
24-Apr-08,72.775,72.055,72.945,72.05,8.02K,1.01%
23-Apr-08,72.05,71.58,72.175,71.535,6.04K,0.71%
22-Apr-08,71.54,71.88,72.15,71.05,12.72K,-0.47%
21-Apr-08,71.88,72.23,72.27,71.705,6.48K,-0.52%
18-Apr-08,72.255,71.84,74.5,71.625,12.15K,0.46%
17-Apr-08,71.925,71.695,72.04,71.56,4.76K,0.39%
16-Apr-08,71.645,72.325,72.325,71.51,8.10K,-0.89%
15-Apr-08,72.29,72.105,72.55,71.94,3.31K,0.22%
14-Apr-08,72.13,72.535,72.66,71.76,3.31K,0.09%
11-Apr-08,72.065,72.365,72.4,71.975,2.94K,-0.49%
10-Apr-08,72.42,72.19,72.495,71.68,6.59K,0.42%
9-Apr-08,72.12,72.63,72.665,71.955,5.39K,-0.57%
8-Apr-08,72.53,72.515,72.68,72.145,1.70K,0.04%
7-Apr-08,72.5,72.26,72.75,72.25,1.69K,0.19%
