Date,Price,Open,High,Low,Vol.,Change %
19-Dec-13,"43,869","45,020","45,020","43,629",29.38K,-3.26%
18-Dec-13,"45,348","44,875","45,475","44,794",16.97K,1.37%
17-Dec-13,"44,734","45,110","45,628","44,580",29.03K,-1.31%
16-Dec-13,"45,330","44,563","45,665","44,062",26.49K,1.24%
13-Dec-13,"44,776","44,231","44,912","44,051",20.50K,0.69%
12-Dec-13,"44,468","45,747","45,800","44,370",26.84K,-2.76%
11-Dec-13,"45,730","45,499","45,845","45,251",19.04K,0.62%
10-Dec-13,"45,450","44,398","45,549","44,398",25.99K,2.92%
9-Dec-13,"44,160","43,951","44,317","43,737",15.71K,0.25%
6-Dec-13,"44,052","44,144","44,700","43,584",27.31K,2.10%
5-Dec-13,"43,146","43,415","43,749","42,700",0.75K,-1.56%
4-Dec-13,"43,831","43,000","43,961","42,418",0.86K,2.31%
3-Dec-13,"42,843","42,845","43,200","42,600",1.27K,-0.39%
2-Dec-13,"43,012","44,011","44,090","42,856",3.56K,-2.85%
29-Nov-13,"44,274","44,096","44,649","43,986",16.28K,0.33%
28-Nov-13,"44,128","44,049","44,189","43,950",7.48K,-0.12%
27-Nov-13,"44,179","44,350","44,861","44,086",14.96K,-0.63%
26-Nov-13,"44,460","44,490","45,124","44,361",15.86K,-0.09%
25-Nov-13,"44,500","44,301","44,670","43,925",18.88K,-0.11%
22-Nov-13,"44,547","45,167","45,240","44,455",16.45K,-1.31%
21-Nov-13,"45,137","44,851","45,336","44,551",23.55K,0.31%
20-Nov-13,"44,999","45,621","45,849","44,900",21.35K,-0.97%
19-Nov-13,"45,440","45,156","45,660","45,060",16.94K,0.23%
18-Nov-13,"45,335","46,541","46,680","45,265",18.93K,-3.01%
15-Nov-13,"46,741","46,859","46,944","46,655",6.73K,-0.47%
14-Nov-13,"46,961","46,780","47,280","46,780",17.96K,0.61%
13-Nov-13,"46,677","47,560","47,560","46,547",23.89K,-2.25%
12-Nov-13,"47,750","48,150","48,489","47,659",19.48K,-1.29%
11-Nov-13,"48,373","48,500","48,573","48,137",14.01K,0.48%
8-Nov-13,"48,144","48,590","48,914","48,004",19.88K,-0.61%
7-Nov-13,"48,440","48,535","49,150","47,901",23.58K,-0.43%
6-Nov-13,"48,649","48,105","49,154","48,002",16.70K,1.02%
5-Nov-13,"48,159","48,050","48,249","47,732",13.07K,-0.20%
4-Nov-13,"48,257","48,603","48,688","48,120",4.56K,-0.97%
3-Nov-13,"48,732","48,700","48,825","48,698",1.28K,0.12%
1-Nov-13,"48,675","48,502","48,919","48,200",17.33K,0.50%
31-Oct-13,"48,431","50,100","50,100","48,100",22.96K,-3.19%
30-Oct-13,"50,028","49,430","50,391","49,334",20.25K,1.18%
29-Oct-13,"49,445","49,777","49,824","49,060",19.61K,-0.23%
28-Oct-13,"49,561","49,655","49,980","49,432",17.49K,-0.30%
25-Oct-13,"49,709","49,930","50,030","49,151",21.54K,-0.79%
24-Oct-13,"50,107","49,904","50,330","49,719",18.33K,0.70%
23-Oct-13,"49,760","49,751","50,199","49,656",16.33K,-0.25%
22-Oct-13,"49,884","48,948","49,990","48,550",25.92K,1.44%
21-Oct-13,"49,178","48,255","49,280","48,255",17.35K,2.04%
18-Oct-13,"48,195","47,850","48,666","47,606",18.02K,0.14%
17-Oct-13,"48,126","47,231","48,853","46,762",28.79K,1.59%
16-Oct-13,"47,372","47,363","47,540","46,910",11.95K,0.19%
15-Oct-13,"47,281","47,105","47,394","45,951",30.47K,-0.20%
14-Oct-13,"47,374","46,788","47,986","46,654",16.48K,1.03%
11-Oct-13,"46,891","48,021","48,030","46,700",23.09K,-2.84%
10-Oct-13,"48,264","49,189","49,221","48,165",19.39K,-1.52%
9-Oct-13,"49,009","49,860","49,875","48,578",20.03K,-1.89%
8-Oct-13,"49,952","49,665","50,123","49,261",18.32K,0.65%
7-Oct-13,"49,630","49,160","49,800","48,350",19.66K,2.97%
4-Oct-13,"48,197","48,201","48,600","47,788",20.35K,-0.94%
3-Oct-13,"48,653","48,358","48,891","47,870",22.64K,1.57%
1-Oct-13,"47,902","48,960","49,325","46,866",30.72K,-2.54%
30-Sep-13,"49,148","49,305","49,899","48,652",19.48K,-1.07%
27-Sep-13,"49,680","48,406","50,215","48,191",23.11K,2.14%
26-Sep-13,"48,639","49,000","49,444","48,322",22.50K,-1.08%
25-Sep-13,"49,171","49,225","49,550","48,650",21.28K,0.04%
24-Sep-13,"49,152","49,390","49,531","48,460",20.88K,-0.49%
23-Sep-13,"49,393","48,728","49,457","48,432",17.53K,0.18%
20-Sep-13,"49,306","51,301","51,649","49,170",28.00K,-4.72%
19-Sep-13,"51,750","49,956","52,165","49,956",25.64K,4.38%
18-Sep-13,"49,577","49,290","49,899","48,488",24.08K,0.36%
17-Sep-13,"49,401","49,800","50,419","49,281",20.69K,-0.86%
16-Sep-13,"49,832","49,752","50,052","48,866",22.90K,-1.67%
14-Sep-13,"50,676","49,550","50,778","49,550",1.85K,2.56%
13-Sep-13,"49,410","50,699","50,699","49,160",24.63K,-2.15%
12-Sep-13,"50,495","52,140","52,325","50,337",24.50K,-3.71%
11-Sep-13,"52,439","52,444","52,896","51,824",18.16K,0.39%
10-Sep-13,"52,235","53,955","53,955","51,759",20.14K,-3.48%
9-Sep-13,"54,117","54,507","54,787","53,937",7.54K,-1.57%
7-Sep-13,"54,982","54,700","55,084","54,700",0.51K,0.30%
6-Sep-13,"54,817","54,689","55,520","53,351",22.92K,2.99%
5-Sep-13,"53,227","53,180","53,694","52,195",0.09K,0.16%
4-Sep-13,"53,141","56,305","57,450","52,800",0.22K,-7.27%
3-Sep-13,"57,308","54,890","57,600","54,890",0.37K,4.28%
2-Sep-13,"54,954","51,099","55,289","51,099",1.33K,3.27%
31-Aug-13,"53,212","53,735","53,735","53,111",1.82K,-1.21%
30-Aug-13,"53,864","55,550","55,550","53,411",19.63K,-3.02%
29-Aug-13,"55,542","55,951","56,682","54,270",29.60K,-0.42%
28-Aug-13,"55,776","57,500","59,942","55,410",40.13K,-2.64%
27-Aug-13,"57,290","53,850","57,645","53,850",33.91K,6.51%
26-Aug-13,"53,787","53,700","54,737","53,515",28.61K,0.59%
24-Aug-13,"53,473","53,606","53,750","53,301",1.73K,0.01%
23-Aug-13,"53,469","51,406","53,620","50,980",29.64K,4.44%
22-Aug-13,"51,195","51,175","52,200","50,975",27.87K,-0.49%
21-Aug-13,"51,446","50,979","51,775","50,005",25.19K,1.96%
